ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2020-08-07,80056.10136217765,29845.806034132675,134534.2328423048,80056.10136217765,80056.10136217765,-19.261126416697948,-19.261126416697948,-19.261126416697948,-19.261126416697948,-19.261126416697948,-19.261126416697948,0.0,0.0,0.0,80036.84023576096,90729.0
2020-08-08,80715.89014730051,10725.68882090547,136549.84631909008,80715.89014730051,80715.89014730051,-1649.4229586685267,-1649.4229586685267,-1649.4229586685267,-1649.4229586685267,-1649.4229586685267,-1649.4229586685267,0.0,0.0,0.0,79066.46718863198,91093.0
2020-08-09,81375.67893242337,20951.51874666503,135097.60850800882,81375.67893242337,81375.67893242337,-4246.297728809519,-4246.297728809519,-4246.297728809519,-4246.297728809519,-4246.297728809519,-4246.297728809519,0.0,0.0,0.0,77129.38120361386,86626.0
2020-08-10,82035.46771754623,28686.103693444416,130211.84788240331,82035.46771754623,82035.46771754623,-8004.503712545742,-8004.503712545742,-8004.503712545742,-8004.503712545742,-8004.503712545742,-8004.503712545742,0.0,0.0,0.0,74030.96400500048,81347.0
2020-08-11,82695.25650266906,31813.28084995032,126720.2409387463,82695.25650266906,82695.25650266906,-3166.5600830532394,-3166.5600830532394,-3166.5600830532394,-3166.5600830532394,-3166.5600830532394,-3166.5600830532394,0.0,0.0,0.0,79528.69641961582,85855.0
2020-08-12,83355.04528779192,24748.00929416442,145493.64617667158,83355.04528779192,83355.04528779192,722.6113223123172,722.6113223123172,722.6113223123172,722.6113223123172,722.6113223123172,722.6113223123172,0.0,0.0,0.0,84077.65661010423,95453.0
2020-08-13,84014.8340729148,43929.84052866422,148621.16856477465,84014.8340729148,84014.8340729148,16363.434287206548,16363.434287206548,16363.434287206548,16363.434287206548,16363.434287206548,16363.434287206548,0.0,0.0,0.0,100378.26836012135,92527.0
2020-08-14,84674.62285931976,44423.385096957834,133144.16663991276,84674.62285931976,84674.62285931976,-19.261126392919312,-19.261126392919312,-19.261126392919312,-19.261126392919312,-19.261126392919312,-19.261126392919312,0.0,0.0,0.0,84655.36173292685,94798.0
2020-08-15,85334.41164572473,34209.271488872764,138199.06493133606,85334.41164572473,85334.41164572473,-1649.4229586767228,-1649.4229586767228,-1649.4229586767228,-1649.4229586767228,-1649.4229586767228,-1649.4229586767228,0.0,0.0,0.0,83684.98868704801,91444.0
2020-08-16,85994.20043212968,20520.70096329343,130774.85070822503,85994.20043212968,85994.20043212968,-4246.297728834484,-4246.297728834484,-4246.297728834484,-4246.297728834484,-4246.297728834484,-4246.297728834484,0.0,0.0,0.0,81747.9027032952,83791.0
2020-08-17,86653.98921853467,29573.477566950933,131545.003119118,86653.98921853467,86653.98921853467,-8004.503712555534,-8004.503712555534,-8004.503712555534,-8004.503712555534,-8004.503712555534,-8004.503712555534,0.0,0.0,0.0,78649.48550597913,77885.0
2020-08-18,87313.77800493962,35879.399277614735,137128.6409559277,87313.77800493962,87313.77800493962,-3166.5600830687504,-3166.5600830687504,-3166.5600830687504,-3166.5600830687504,-3166.5600830687504,-3166.5600830687504,0.0,0.0,0.0,84147.21792187088,93070.0
2020-08-19,87973.5667913446,35203.33303661381,130025.40997627024,87973.5667913446,87973.5667913446,722.6113223197412,722.6113223197412,722.6113223197412,722.6113223197412,722.6113223197412,722.6113223197412,0.0,0.0,0.0,88696.17811366434,98380.0
2020-08-20,88633.35557774955,41759.45712206589,165012.55403352037,88633.35557774955,88633.35557774955,16363.434287199896,16363.434287199896,16363.434287199896,16363.434287199896,16363.434287199896,16363.434287199896,0.0,0.0,0.0,104996.78986494945,97030.0
2020-08-21,89293.14436415453,45514.48452341464,147594.8305935758,89293.14436415453,89293.14436415453,-19.261126379206633,-19.261126379206633,-19.261126379206633,-19.261126379206633,-19.261126379206633,-19.261126379206633,0.0,0.0,0.0,89273.88323777533,97257.0
2020-08-22,89952.93315055949,29388.151416248234,152072.2422268769,89952.93315055949,89952.93315055949,-1649.4229586570098,-1649.4229586570098,-1649.4229586570098,-1649.4229586570098,-1649.4229586570098,-1649.4229586570098,0.0,0.0,0.0,88303.51019190247,95153.0
2020-08-23,90612.72193696446,44785.73229096338,136750.53008909573,90612.72193696446,90612.72193696446,-4246.29772882713,-4246.29772882713,-4246.29772882713,-4246.29772882713,-4246.29772882713,-4246.29772882713,0.0,0.0,0.0,86366.42420813732,84090.0
2020-08-24,91272.51072336944,36213.67163802863,139219.73696838136,91272.51072336944,91272.51072336944,-8004.503712519095,-8004.503712519095,-8004.503712519095,-8004.503712519095,-8004.503712519095,-8004.503712519095,0.0,0.0,0.0,83268.00701085034,86306.0
2020-08-25,91849.06715831226,45095.02155071885,143618.61646544666,91849.06715831226,91849.06715831226,-3166.5600830814237,-3166.5600830814237,-3166.5600830814237,-3166.5600830814237,-3166.5600830814237,-3166.5600830814237,0.0,0.0,0.0,88682.50707523084,82152.0
2020-08-26,92425.62359325508,36062.85552828386,142278.51524578288,92425.62359325508,92425.62359325508,722.6113223271639,722.6113223271639,722.6113223271639,722.6113223271639,722.6113223271639,722.6113223271639,0.0,0.0,0.0,93148.23491558224,113018.0
2020-08-27,93002.18002819788,62929.141286205275,162936.00719181646,93002.18002819788,93002.18002819788,16363.434287202204,16363.434287202204,16363.434287202204,16363.434287202204,16363.434287202204,16363.434287202204,0.0,0.0,0.0,109365.61431540009,103606.0
2020-08-28,93578.73646314071,31695.02189761631,143304.71289458123,93578.73646314071,93578.73646314071,-19.261126401446468,-19.261126401446468,-19.261126401446468,-19.261126401446468,-19.261126401446468,-19.261126401446468,0.0,0.0,0.0,93559.47533673927,103952.0
